,results,results,results,results,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,results,results,results,results,results,results,results,results,results,results,results,results,results,results,results,parameters,parameters,parameters,results,results,results,results,results,parameters,parameters,parameters
,misc,misc,misc,misc,sampler,sampler,sampler,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,Q,Q,Q,I_y,I_y,I_y,I_y,I_y,I_z,I_z,I_z,I_z,I_z,Q,Q,Q,Q,Q,sigma,sigma,sigma,sigma,sigma,sigma,sigma,sigma,model,model,likelihood
,RMSE,AIC,BIC,average_diverging,n_samples,n_chains,thinning_rate,prior,mu_0,mu_1,cov_0_0,cov_0_1,cov_1_0,cov_1_1,prior,mu,sigma,mean,lower,upper,average_tau,param_accuracy,mean,lower,upper,average_tau,param_accuracy,mean,lower,upper,average_tau,param_accuracy,prior,mu,sigma,mean,lower,upper,average_tau,param_accuracy,type,H,type
49,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.5,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
50,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,5.0,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
51,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,0.5,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
52,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.0,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
53,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.5,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
54,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.0,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
55,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.5,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
56,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.0,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
57,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.5,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
58,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.0,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
59,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.5,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
60,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,5.0,3.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
61,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,0.5,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
62,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.0,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
63,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.5,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
64,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.0,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
65,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.5,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
66,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.0,3.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
